,Unnamed: 0,Unvan,Link,Tarix,Qiymet,rooms,floor,area
1486,1486,İnşaatçılar m.,https://bina.az//items/3183782,dünən 18:22,1 200 000AZN,3 otaq,16/18,400 m²
1487,1487,20 Yanvar m.,https://bina.az//items/3501825,dünən 18:22,180 000AZN,2 otaq,15/27,110 m²
1488,1488,8 Noyabr m.,https://bina.az//items/3562862,dünən 18:22,220 000AZN,2 otaq,9/9,103 m²
1489,1489,Bakıxanov q.,https://bina.az//items/3493383,dünən 18:22,110 000AZN,2 otaq,4/9,60 m²
1490,1490,Bakıxanov q.,https://bina.az//items/3308017,dünən 18:21,90 000AZN,2 otaq,9/9,100 m²
1491,1491,Nəriman Nərimanov m.,https://bina.az//items/3573632,dünən 18:20,140 000AZN,4 otaq,6/14,3 m²
1492,1492,Qara Qarayev m.,https://bina.az//items/3567825,dünən 18:20,135 000AZN,4 otaq,4/9,66 m²
1493,1493,Nəsimi r.,https://bina.az//items/3631019,dünən 18:20,415 000AZN,1 otaq,16/17,195 m²
1494,1494,Azadlıq Prospekti m.,https://bina.az//items/3564220,dünən 18:20,95 000AZN,4 otaq,2/9,50 m²
1495,1495,Masazır q.,https://bina.az//items/3631018,dünən 18:20,145 000AZN,2 otaq,4/16,160 m²
1496,1496,28 May m.,https://bina.az//items/3554543,dünən 18:20,250 000AZN,4 otaq,24/25,94 m²
1497,1497,Yeni Yasamal q.,https://bina.az//items/3574870,dünən 18:20,250 000AZN,3 otaq,9/17,750 m²
1498,1498,Qaraçuxur q.,https://bina.az//items/3422057,dünən 18:18,130 000AZN,2 otaq,14/18,95 m²
1499,1499,Elmlər Akademiyası m.,https://bina.az//items/3631017,dünən 18:18,185 000AZN,2 otaq,12/18,7 m²
1500,1500,Elmlər Akademiyası m.,https://bina.az//items/3436021,dünən 18:18,235 000AZN,2 otaq,17/20,125 m²
1501,1501,Şah İsmayıl Xətai m.,https://bina.az//items/3607758,dünən 18:17,155 000AZN,4 otaq,16/20,76 m²
1502,1502,Səbail r.,https://bina.az//items/3624022,dünən 18:17,287 000AZN,3 otaq,1/9,85 m²
